variable,category,data_type,model_ready_data_type,description,included_in_model,included_in_model_matrix,model_matrix_columns,missing_count,missing_pct,unique_values,example_values,min_value,max_value
percolator_utilization_score,Medication and risk,float64,float64,Composite utilization risk score.,True,True,percolator_utilization_score,0,0.0,418,60.3; 42.4; 41.4; 29.3; 41.8,13.9,100.0
polypharmacy_flag,Medication and risk,int64,float64,Indicator for polypharmacy risk.,True,True,polypharmacy_flag,0,0.0,2,0; 1,0.0,1.0
risk_tier,Medication and risk,object,category,Categorical risk tier assignment.,True,True,risk_tier_High; risk_tier_Low; risk_tier_Medium; risk_tier_Very_High,0,0.0,4,Medium; Low; High; Very High,,
rx_count_last_6m,Medication and risk,int64,int64,Number of prescriptions or medication fills in the last 6 months.,True,True,rx_count_last_6m,0,0.0,21,2; 11; 3; 12; 1,0.0,20.0
admits_last_6m,Prior utilization and cost,int64,int64,Number of inpatient admissions in the last 6 months.,True,True,admits_last_6m,0,0.0,5,0; 1; 2; 3; 4,0.0,4.0
ed_visits_last_30d,Prior utilization and cost,int64,int64,Number of ED visits in the last 30 days.,True,True,ed_visits_last_30d,0,0.0,3,1; 0; 2,0.0,2.0
ed_visits_last_6m,Prior utilization and cost,int64,int64,Number of ED visits in the last 6 months.,True,True,ed_visits_last_6m,0,0.0,6,1; 0; 2; 3; 4,0.0,5.0
observation_stays_last_6m,Prior utilization and cost,int64,int64,Number of observation stays in the last 6 months.,True,True,observation_stays_last_6m,0,0.0,5,1; 2; 0; 3; 4,0.0,4.0
pcp_visits_last_6m,Prior utilization and cost,int64,int64,Number of primary care visits in the last 6 months.,True,True,pcp_visits_last_6m,0,0.0,10,3; 4; 2; 1; 7,0.0,9.0
specialist_visits_last_6m,Prior utilization and cost,int64,int64,Number of specialist visits in the last 6 months.,True,True,specialist_visits_last_6m,0,0.0,8,1; 2; 0; 3; 7,0.0,7.0
total_cost_last_6m,Prior utilization and cost,float64,float64,Total healthcare cost in the last 6 months.,True,True,total_cost_last_6m,0,0.0,1000,1830.87; 3589.8; 1708.79; 2878.61; 1783.76,1092.95,12520.11
case_manager_name,Program / operations,object,category,Assigned case manager identifier/name.,True,True,case_manager_name_CM_01; case_manager_name_CM_02; case_manager_name_CM_03; case_manager_name_CM_04; case_manager_name_CM_05; case_manager_name_CM_06; case_manager_name_CM_07; case_manager_name_CM_08; case_manager_name_CM_09; case_manager_name_CM_10; case_manager_name_CM_11; case_manager_name_CM_12; case_manager_name_CM_13; case_manager_name_CM_14; case_manager_name_CM_15,0,0.0,15,CM_01; CM_02; CM_03; CM_05; CM_04,,
client_contract,Program / operations,object,category,Client contract or line of business associated with the member.,True,True,client_contract_Contract_A; client_contract_Contract_B; client_contract_Contract_C,0,0.0,3,Contract_B; Contract_A; Contract_C,,
program,Program / operations,object,category,Care management program or operational program assignment.,True,True,program_BH_CM; program_CM; program_Complex_CM,0,0.0,3,CM; BH_CM; Complex_CM,,
service_region,Program / operations,object,category,Service region where the member receives care management support.,True,True,service_region_Central; service_region_East; service_region_North; service_region_South; service_region_West,0,0.0,5,West; North; East; South; Central,,
food_insecurity_flag,Social needs,int64,float64,Indicator for food insecurity.,True,True,food_insecurity_flag,0,0.0,2,0; 1,0.0,1.0
housing_instability_flag,Social needs,int64,float64,Indicator for housing instability.,True,True,housing_instability_flag,0,0.0,2,0; 1,0.0,1.0
living_alone_flag,Social needs,int64,float64,Indicator that the member lives alone.,True,True,living_alone_flag,0,0.0,2,0; 1,0.0,1.0
transportation_barrier_flag,Social needs,int64,float64,Indicator for transportation barriers.,True,True,transportation_barrier_flag,0,0.0,2,0; 1,0.0,1.0
utilities_insecurity_flag,Social needs,int64,float64,Indicator for utility insecurity.,True,True,utilities_insecurity_flag,0,0.0,2,0; 1,0.0,1.0
