feature,mean_abs_benefit_shap,mean_signed_benefit_shap,mean_positive_benefit_shap,mean_negative_benefit_shap,pct_positive_benefit_shap,pct_negative_benefit_shap,explained_test_rows,background_rows
county_KANAWHA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_KNOTT,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_KNOX,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LA_PORTE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LAKE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LAS_ANIMAS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LAUREL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LAWRENCE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LEE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LEHIGH,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LETCHER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LEWIS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LEXINGTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LICKING,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LINCOLN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
state_KS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LYNCHBURG_CITY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_LYON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MACOMB,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MACOUPIN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MADISON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MAGOFFIN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MANATEE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MARION,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MARSHALL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MARTIN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MASON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MATANUSKA_SUSITNA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MCDONOUGH,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MCDOWELL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MCLEAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MCMINN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MEIGS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MENIFEE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MERCER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MESA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MINGO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MOFFAT,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MONONGALIA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MONROE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MONTGOMERY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MORGAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MORTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MUHLENBERG,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_MUSKINGUM,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_NASSAU,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_NAVAJO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_NEW_LONDON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_NICHOLAS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_NOBLE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_NORTON_CITY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_NOWATA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_OCONEE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_OHIO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_ONSLOW,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_ORANGE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_OWEN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PARK,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PARKE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PASCO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PENDLETON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PENNINGTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PEORIA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PERQUIMANS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PERRY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PICKAWAY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PICKENS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
state_MD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PINAL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PINELLAS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_POCAHONTAS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_POLK,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_POPE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PORTAGE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_POWELL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_POWHATAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PRESTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PRINCE_GEORGES,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PULASKI,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_PUTNAM,0.0,0.0,0.0,0.0,0.0,0.0,100,50
state_ME,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_RANDOLPH,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_RICHLAND,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_RIO_BLANCO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_RITCHIE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_ROANE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_ROANOKE_CITY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_ROGERS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_ROSEBUD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_ROWAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_RUSSELL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_RUTLAND,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SAINT_CHARLES,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SAINT_CLAIR,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SAINT_JOHNS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SAINT_LUCIE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SALINE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SAN_JUAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SANDERS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SANGAMON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SANPETE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SANTA_FE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SARASOTA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SCOTT,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SEVIER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SHELBY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SHERIDAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SMYTH,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SOMERSET,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SPARTANBURG,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SPENCER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_STANLY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_STOKES,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SULLIVAN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SUMMERS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SUMTER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SURRY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_SUSSEX,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_TALLADEGA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_TAYLOR,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_TAZEWELL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_THURSTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_TIPPAH,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_TRIMBLE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_TUCKER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_TUSCALOOSA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_TUSCARAWAS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_TYLER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_UNION,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_UPSHUR,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_VANDERBURGH,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_VERMILLION,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_VIGO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_VINTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_VOLUSIA,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WABASH,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WAGONER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WALKER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WARREN,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WARRICK,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WASHINGTON,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WAYNE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WEBSTER,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WESTMORELAND,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WETZEL,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WHITE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WHITLEY,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WICOMICO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
state_MI,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WIRT,0.0,0.0,0.0,0.0,0.0,0.0,100,50
state_MO,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WOOD,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WRIGHT,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WYOMING,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_WYTHE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_YAVAPAI,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_YELLOWSTONE,0.0,0.0,0.0,0.0,0.0,0.0,100,50
county_YORK,0.0,0.0,0.0,0.0,0.0,0.0,100,50
state_AK,0.0,0.0,0.0,0.0,0.0,0.0,100,50
state_MS,0.0,0.0,0.0,0.0,0.0,0.0,100,50
