variable,category,data_type,model_ready_data_type,description,predictor_type,included_in_model,included_in_model_matrix,model_matrix_columns,missing_count,missing_pct,unique_values,example_values,min_value,max_value
risk_tier,Risk Scores,object,category,Categorical risk tier assignment.,Multi-level categorical,True,True,risk_tier_High; risk_tier_Low; risk_tier_Medium; risk_tier_Missing; risk_tier_Very_High,0,0.0,5,High; Medium; Low; Very High; Missing,,
financial_strain_flag,SDOH,int64,float64,Indicator for financial strain.,Binary indicator,True,True,financial_strain_flag,0,0.0,2,0; 1,0.0,1.0
food_insecurity_flag,SDOH,int64,float64,Indicator for food insecurity.,Binary indicator,True,True,food_insecurity_flag,0,0.0,2,0; 1,0.0,1.0
healthliteracy_challenges_flag,SDOH,int64,float64,Indicator for health-literacy challenges.,Binary indicator,True,True,healthliteracy_challenges_flag,0,0.0,2,0; 1,0.0,1.0
housing_instability_flag,SDOH,int64,float64,Indicator for housing instability.,Binary indicator,True,True,housing_instability_flag,0,0.0,2,0; 1,0.0,1.0
transportation_barrier_flag,SDOH,int64,float64,Indicator for transportation barriers.,Binary indicator,True,True,transportation_barrier_flag,0,0.0,2,0; 1,0.0,1.0
admits_last_6m,Utilization,int64,int64,Number of inpatient admissions in the last 6 months.,Continuous/count numeric,True,True,admits_last_6m,0,0.0,9,0; 1; 2; 3; 5,0.0,12.0
ed_visits_last_30d,Utilization,int64,int64,Number of ED visits in the last 30 days.,Continuous/count numeric,True,True,ed_visits_last_30d,0,0.0,6,0; 1; 2; 3; 4,0.0,5.0
ed_visits_last_6m,Utilization,int64,int64,Number of ED visits in the last 6 months.,Continuous/count numeric,True,True,ed_visits_last_6m,0,0.0,16,1; 0; 2; 3; 5,0.0,22.0
observation_stays_last_6m,Utilization,int64,int64,Number of observation stays in the last 6 months.,Continuous/count numeric,True,True,observation_stays_last_6m,0,0.0,8,0; 1; 2; 3; 4,0.0,8.0
op_visits_last_6m,Utilization,int64,int64,Number of outpatient visits in the last 6 months.,Continuous/count numeric,True,True,op_visits_last_6m,0,0.0,38,7; 1; 5; 6; 15,0.0,47.0
