variable,category,data_type,model_ready_data_type,description,predictor_type,included_in_model,included_in_model_matrix,model_matrix_columns,missing_count,missing_pct,unique_values,example_values,min_value,max_value
percolator_clinical_score,Risk Scores,float64,float64,Composite clinical risk score.,Continuous/count numeric,True,True,percolator_clinical_score,0,0.0,442,35.8; 54.0; 26.2; 30.1; 34.2,12.7,96.5
percolator_sdoh_score,Risk Scores,float64,float64,Composite social determinants of health risk score.,Continuous/count numeric,True,True,percolator_sdoh_score,0,0.0,445,23.7; 22.9; 29.4; 18.4; 28.0,2.9,85.0
percolator_utilization_score,Risk Scores,float64,float64,Composite utilization risk score.,Continuous/count numeric,True,True,percolator_utilization_score,0,0.0,418,60.3; 42.4; 41.4; 29.3; 41.8,13.9,100.0
risk_tier,Risk Scores,object,category,Categorical risk tier assignment.,Multi-level categorical,True,True,risk_tier_High; risk_tier_Low; risk_tier_Medium; risk_tier_Very_High,0,0.0,4,Medium; Low; High; Very High,,
food_insecurity_flag,SDOH,int64,float64,Indicator for food insecurity.,Binary indicator,True,True,food_insecurity_flag,0,0.0,2,0; 1,0.0,1.0
housing_instability_flag,SDOH,int64,float64,Indicator for housing instability.,Binary indicator,True,True,housing_instability_flag,0,0.0,2,0; 1,0.0,1.0
transportation_barrier_flag,SDOH,int64,float64,Indicator for transportation barriers.,Binary indicator,True,True,transportation_barrier_flag,0,0.0,2,0; 1,0.0,1.0
utilities_insecurity_flag,SDOH,int64,float64,Indicator for utility insecurity.,Binary indicator,True,True,utilities_insecurity_flag,0,0.0,2,0; 1,0.0,1.0
admits_last_6m,Utilization,int64,int64,Number of inpatient admissions in the last 6 months.,Continuous/count numeric,True,True,admits_last_6m,0,0.0,5,0; 1; 2; 3; 4,0.0,4.0
ed_visits_last_30d,Utilization,int64,int64,Number of ED visits in the last 30 days.,Continuous/count numeric,True,True,ed_visits_last_30d,0,0.0,3,1; 0; 2,0.0,2.0
ed_visits_last_6m,Utilization,int64,int64,Number of ED visits in the last 6 months.,Continuous/count numeric,True,True,ed_visits_last_6m,0,0.0,6,1; 0; 2; 3; 4,0.0,5.0
observation_stays_last_6m,Utilization,int64,int64,Number of observation stays in the last 6 months.,Continuous/count numeric,True,True,observation_stays_last_6m,0,0.0,5,1; 2; 0; 3; 4,0.0,4.0
pcp_visits_last_6m,Utilization,int64,int64,Number of primary care visits in the last 6 months.,Continuous/count numeric,True,True,pcp_visits_last_6m,0,0.0,10,3; 4; 2; 1; 7,0.0,9.0
specialist_visits_last_6m,Utilization,int64,int64,Number of specialist visits in the last 6 months.,Continuous/count numeric,True,True,specialist_visits_last_6m,0,0.0,8,1; 2; 0; 3; 7,0.0,7.0
