variable,category,visual_type,output_file
htn_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\htn_flag_bar_chart.png
hyperlipidemia_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\hyperlipidemia_flag_bar_chart.png
substance_use_flag,Clinical Conditions,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\substance_use_flag_bar_chart.png
client_contract,Demographics,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\client_contract_bar_chart.png
county,Demographics,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\county_bar_chart.png
dual_elg,Demographics,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\dual_elg_bar_chart.png
gender,Demographics,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\gender_bar_chart.png
plan_type,Demographics,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\plan_type_bar_chart.png
program,Demographics,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\program_bar_chart.png
state,Demographics,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\state_bar_chart.png
opioid_flag,Pharmacy,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\opioid_flag_bar_chart.png
polypharmacy_flag,Pharmacy,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\polypharmacy_flag_bar_chart.png
risk_tier,Risk Scores,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\risk_tier_bar_chart.png
financial_strain_flag,SDOH,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\financial_strain_flag_bar_chart.png
food_insecurity_flag,SDOH,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\food_insecurity_flag_bar_chart.png
healthliteracy_challenges_flag,SDOH,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\healthliteracy_challenges_flag_bar_chart.png
housing_instability_flag,SDOH,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\housing_instability_flag_bar_chart.png
transportation_barrier_flag,SDOH,categorical_bar_chart,C:\Users\i.Nikesh.Desai\OneDrive - Acentra\Documents\GitHub\prism_repo\Outputs\Uplift_Oregon\Python\Predictor_Distributions\Categorical\transportation_barrier_flag_bar_chart.png
