feature,mean_abs_benefit_shap,mean_signed_benefit_shap,mean_positive_benefit_shap,mean_negative_benefit_shap,pct_positive_benefit_shap,pct_negative_benefit_shap
client_contract_Contract_A,0.0002878324905600332,5.321992539282824e-05,0.00017052620797643073,-0.00011730628258360242,0.49666666666666665,0.5033333333333333
depression_flag,0.0002578199156114487,-5.1412786283158234e-05,0.00010320356466414536,-0.0001546163509473035,0.36,0.64
chf_flag,0.000243190630050189,-6.208660358381288e-06,0.00011849098484590394,-0.0001246996452042852,0.38,0.62
admits_last_6m,0.00024025403411718406,-5.467713304620352e-05,9.278845053549027e-05,-0.00014746558358169374,0.31,0.69
plan_type_Medicaid,0.00023470870315564797,4.3426959714362716e-05,0.0001390678314350054,-9.564087172064268e-05,0.56,0.44
service_region_West,0.00023376545420273796,7.19602325713069e-05,0.00015286284338702238,-8.090261081571545e-05,0.85,0.15
language_English,0.00022579999134702275,-2.7564759109587935e-05,9.911761611871729e-05,-0.00012668237522830522,0.33,0.67
county_County_A,0.00021384052455985852,-5.696635694340043e-05,7.843708380822896e-05,-0.00013540344075162945,0.22,0.78
risk_tier_High,0.0002030813603626814,4.2160643910297196e-05,0.00012262100213648929,-8.046035822619208e-05,0.14666666666666667,0.8533333333333334
service_region_South,0.0002013836336064342,-1.932590899321422e-05,9.102886230661002e-05,-0.00011035477129982427,0.24,0.76
client_contract_Contract_C,0.0001980819076368983,-1.6554066988171598e-06,9.82132504690406e-05,-9.986865716785776e-05,0.7766666666666666,0.22333333333333333
case_manager_name_CM_04,0.0001962377299428259,6.640451170965453e-05,0.0001313211208262402,-6.491660911658572e-05,0.08,0.92
dual_eligible,0.00019443038769312266,-1.502240444508946e-05,8.970399162401656e-05,-0.00010472639606910602,0.3433333333333333,0.6566666666666666
food_insecurity_flag,0.00015149772619111755,1.9230830210843395e-05,8.536427820098046e-05,-6.613344799013709e-05,0.6633333333333333,0.33666666666666667
program_BH_CM,0.00013359744864695767,-2.2968998792959622e-05,5.531422492699908e-05,-7.82832237199587e-05,0.5333333333333333,0.4666666666666667
high_cost_drug_flag,0.00012918379576385826,9.885107550669994e-06,6.953445165726416e-05,-5.9649344106594175e-05,0.82,0.18
language_Other,0.00012531360677335492,-1.163584679246405e-05,5.6838879990445496e-05,-6.847472678290953e-05,0.04666666666666667,0.9533333333333334
plan_type_Dual,0.00012176829338013853,4.805255848734941e-06,6.328677461443675e-05,-5.848151876570178e-05,0.55,0.45
utilities_insecurity_flag,0.0001159028137752541,-1.310070573897703e-05,5.140105401813855e-05,-6.450175975711558e-05,0.7633333333333333,0.23666666666666666
language_Spanish,0.00010750656839125829,7.5408076138153084e-06,5.752368800253679e-05,-4.998288038872149e-05,0.55,0.45
transportation_barrier_flag,9.912518288850573e-05,-6.210308386999554e-06,4.6457437250753094e-05,-5.2667745637752655e-05,0.4066666666666667,0.5933333333333334
county_County_F,9.900038403869338e-05,2.704875654015275e-06,5.085262984635433e-05,-4.814775419233906e-05,0.35333333333333333,0.6466666666666666
housing_instability_flag,9.739530638828333e-05,-5.389627388307985e-06,4.6002839499987665e-05,-5.139246688829565e-05,0.5166666666666667,0.48333333333333334
service_region_North,8.839170315019256e-05,5.399733897112011e-06,4.689571852365228e-05,-4.149598462654027e-05,0.4766666666666667,0.5233333333333333
service_region_East,8.073143221469188e-05,-1.0919242527643594e-05,3.490609484352414e-05,-4.582533737116774e-05,0.34,0.66
case_manager_name_CM_01,7.354184441636985e-05,3.013011152476642e-06,3.827742778442325e-05,-3.526441663194661e-05,0.93,0.07
opioid_flag,7.282367164625328e-05,-1.6569664779386856e-05,2.8127003433433222e-05,-4.469666821282008e-05,0.6933333333333334,0.30666666666666664
county_County_D,6.799128795878378e-05,-1.3651037870831788e-06,3.33130920858503e-05,-3.4678195872933476e-05,0.3933333333333333,0.6066666666666667
asthma_flag,5.5432000360600676e-05,1.3766879912338546e-06,2.8404344175917263e-05,-2.7027656184683406e-05,0.5166666666666667,0.48333333333333334
county_County_C,5.364976424463158e-05,5.309116404168124e-06,2.947944032439985e-05,-2.4170323920231726e-05,0.4866666666666667,0.5133333333333333
polypharmacy_flag,4.683757380932942e-05,-1.9987351548067987e-05,1.3425111130630715e-05,-3.34124626786987e-05,0.9033333333333333,0.09666666666666666
risk_tier_Low,4.100708272124626e-05,-8.922566272457014e-06,1.6042258224394622e-05,-2.4964824496851635e-05,0.31,0.69
case_manager_name_CM_09,4.054094718824442e-05,5.606613913124167e-06,2.3073780550684293e-05,-1.7467166637560125e-05,0.88,0.12
case_manager_name_CM_13,4.0381938080316455e-05,-1.2557347769461066e-05,1.3912295155427695e-05,-2.6469642924888763e-05,0.9466666666666667,0.05333333333333334
case_manager_name_CM_11,3.259652057385922e-05,-9.595802645503292e-06,1.1500358964177962e-05,-2.1096161609681254e-05,0.43333333333333335,0.5666666666666667
plan_type_Commercial,2.6104579655671623e-05,-7.548532944651766e-07,1.2674863180603223e-05,-1.34297164750684e-05,0.43,0.57
case_manager_name_CM_02,2.340554880883286e-05,-8.063304056017303e-06,7.671122376407778e-06,-1.573442643242508e-05,0.4066666666666667,0.5933333333333334
substance_use_flag,1.7923252502226973e-05,2.670018010122807e-07,9.095127151619627e-06,-8.828125350607346e-06,0.35333333333333333,0.64
case_manager_name_CM_12,1.4948844258950983e-05,2.405166834331506e-06,8.677005546641244e-06,-6.271838712309738e-06,0.8366666666666667,0.11666666666666667
case_manager_name_CM_07,1.2965235222343563e-05,2.7483834452420293e-06,7.856809333792796e-06,-5.108425888550767e-06,0.3933333333333333,0.6066666666666667
case_manager_name_CM_15,0.0,0.0,0.0,0.0,0.0,0.0
case_manager_name_CM_03,0.0,0.0,0.0,0.0,0.0,0.0
case_manager_name_CM_08,0.0,0.0,0.0,0.0,0.0,0.0
case_manager_name_CM_05,0.0,0.0,0.0,0.0,0.0,0.0
case_manager_name_CM_06,0.0,0.0,0.0,0.0,0.0,0.0
case_manager_name_CM_14,0.0,0.0,0.0,0.0,0.0,0.0
case_manager_name_CM_10,0.0,0.0,0.0,0.0,0.0,0.0
risk_tier_Very_High,0.0,0.0,0.0,0.0,0.0,0.0
