Area,Check,Result,Expected,Status,Finding
Treatment effect segments,High Risk + Low Benefit,0.0%,15.0% target,Fail,Segment share is validated directly from risk_tier and true_treatment_effect bands.
Treatment effect segments,Moderate Risk + High Benefit,9.6%,20.0% target,Fail,Segment share is validated directly from risk_tier and true_treatment_effect bands.
Treatment effect segments,Moderate Risk + Moderate Benefit,12.6%,25.0% target,Fail,Segment share is validated directly from risk_tier and true_treatment_effect bands.
Treatment effect segments,Low Risk + Low Benefit,4.6%,25.0% target,Fail,Segment share is validated directly from risk_tier and true_treatment_effect bands.
Clinical dependencies,diabetes_flag -> ckd_flag,yes=37.6%; no=1.1%; lift=36.5%,Diabetes should increase CKD probability,Pass,Decision uses direct conditional rates.
Clinical dependencies,diabetes_flag -> polypharmacy_flag,yes=49.5%; no=9.5%; lift=40.0%,Diabetes should increase polypharmacy probability,Pass,Decision uses direct conditional rates.
Clinical dependencies,diabetes_flag -> specialist_visits_last_6m,yes=2.33; no=0.55; lift=1.78,Diabetes should increase specialist visits,Pass,Decision uses direct conditional means.
Clinical dependencies,diabetes_flag -> admits_last_6m,yes=2.00; no=1.75; lift=0.25,Diabetes should increase admissions,Pass,Decision uses direct conditional means.
Clinical dependencies,chf_flag -> admits_last_6m,yes=2.25; no=1.78; lift=0.47,CHF should increase admissions,Pass,Decision uses direct conditional means.
Clinical dependencies,chf_flag -> ed_visits_last_6m,yes=3.18; no=2.62; lift=0.57,CHF should increase ED utilization,Pass,Decision uses direct conditional means.
Clinical dependencies,chf_flag -> specialist_visits_last_6m,yes=4.50; no=0.74; lift=3.76,CHF should increase specialist visits,Pass,Decision uses direct conditional means.
Clinical dependencies,behavioral_health_risk_flag -> ed_visits_last_6m,yes=2.70; no=2.60; lift=0.11,BH risk should increase ED utilization,Weak,Decision uses direct conditional means.
Clinical dependencies,behavioral_health_risk_flag -> admits_last_6m,yes=1.85; no=1.76; lift=0.09,BH risk should increase admissions,Weak,Decision uses direct conditional means.
Clinical dependencies,substance_use_flag -> ed_visits_last_6m,yes=2.72; no=2.61; lift=0.12,SUD should increase ED utilization,Weak,Decision uses direct conditional means.
Clinical dependencies,substance_use_flag -> admits_last_6m,yes=1.87; no=1.77; lift=0.11,SUD should increase admissions,Weak,Decision uses direct conditional means.
Behavioral health dependencies,behavioral_health_risk_flag -> med_adherence_pdc,yes=0.83; no=0.92; change=-0.09,BH risk should reduce medication adherence,Pass,Lower PDC among members with the driver validates medication-nonadherence dependency.
Behavioral health dependencies,substance_use_flag -> med_adherence_pdc,yes=0.85; no=0.89; change=-0.04,SUD should reduce medication adherence,Pass,Lower PDC among members with the driver validates medication-nonadherence dependency.
Behavioral health dependencies,depression_flag -> med_adherence_pdc,yes=0.77; no=0.90; change=-0.13,Depression should reduce medication adherence,Pass,Lower PDC among members with the driver validates medication-nonadherence dependency.
Behavioral health dependencies,anxiety_flag -> med_adherence_pdc,yes=0.77; no=0.90; change=-0.13,Anxiety should reduce medication adherence,Pass,Lower PDC among members with the driver validates medication-nonadherence dependency.
SDOH dependencies,housing_instability_flag -> food_insecurity_flag,yes=54.0%; no=16.2%; lift=37.8%,Housing instability should increase food insecurity,Pass,Decision uses direct conditional rates.
SDOH dependencies,housing_instability_flag -> transportation_barrier_flag,yes=100.0%; no=5.1%; lift=94.9%,Housing instability should increase transportation barriers,Pass,Decision uses direct conditional rates.
SDOH dependencies,housing_instability_flag -> utilities_insecurity_flag,yes=100.0%; no=5.0%; lift=95.0%,Housing instability should increase utilities insecurity,Pass,Decision uses direct conditional rates.
SDOH dependencies,transportation_barrier_flag -> pcp_visits_last_6m,yes=4.33; no=1.49; lift=2.83,Transportation barriers should reduce PCP utilization,Fail,"Mean PCP utilization is higher for members with transportation barriers, so the direction is wrong."
SDOH dependencies,transportation_barrier_flag -> ed_visits_last_6m,yes=2.95; no=2.59; lift=0.37,Transportation barriers should increase ED utilization,Pass,Decision uses direct conditional means.
SDOH dependencies,Multiple SDOH barriers -> ed_visits_last_6m,2+ barriers=2.91; no barriers=2.55; lift=0.36,Multiple SDOH barriers should raise ED utilization,Pass,Decision compares members with 2+ SDOH barriers to members with no SDOH barriers.
SDOH dependencies,Multiple SDOH barriers -> true_treatment_effect,2+ barriers=0.34; no barriers=0.22; lift=0.12,Multiple SDOH barriers should raise treatment benefit,Pass,Decision compares members with 2+ SDOH barriers to members with no SDOH barriers.
Interaction dependencies,CHF + CKD -> ed_visits_last_6m,both=3.17; exactly one=2.62; lift=0.54,CHF + CKD should produce substantially greater utilization than either alone,Pass,Decision compares members with both CHF and CKD to members with exactly one of the two conditions.
Interaction dependencies,CHF + CKD -> outcome_ed_90d,both=38.1%; exactly one=33.3%; lift=4.8%,CHF + CKD should produce greater ED risk than either alone,Pass,Decision compares members with both CHF and CKD to members with exactly one of the two conditions.
Interaction dependencies,High ED + high SDOH -> true_treatment_effect,both high=0.37; others=0.23; lift=0.14,High ED utilization + high SDOH should produce larger treatment benefit,Pass,Decision uses direct outcome/benefit rates for the combined subgroup.
Interaction dependencies,High ED + high SDOH -> outcome_ed_90d,both high=61.7%; others=5.2%; lift=56.5%,High ED utilization + high SDOH should produce higher ED risk,Pass,Decision uses direct outcome/benefit rates for the combined subgroup.
Interaction dependencies,BH risk + poor adherence -> outcome_ed_90d,BH+poor adherence=39.5%; BH only=12.4%; lift=27.1%,BH risk + medication nonadherence should increase ED risk,Pass,Decision compares the combined dependency subgroup to behavioral-health members without poor adherence.
Interaction dependencies,BH risk + poor adherence -> true_treatment_effect,BH+poor adherence=0.32; BH only=0.27; lift=0.04,BH risk + medication nonadherence should increase treatment responsiveness,Pass,Decision compares the combined dependency subgroup to behavioral-health members without poor adherence.
Burden dependencies,Higher clinical/SDOH burden -> ed_visits_last_6m,high burden=2.83; lower burden=2.56; lift=0.27,Higher clinical and SDOH burden should increase utilization and cost,Pass,Decision uses direct conditional means for higher-burden members.
Burden dependencies,Higher clinical/SDOH burden -> admits_last_6m,high burden=1.94; lower burden=1.74; lift=0.20,Higher clinical and SDOH burden should increase utilization and cost,Pass,Decision uses direct conditional means for higher-burden members.
Burden dependencies,Higher clinical/SDOH burden -> observation_stays_last_6m,high burden=1.94; lower burden=1.74; lift=0.20,Higher clinical and SDOH burden should increase utilization and cost,Pass,Decision uses direct conditional means for higher-burden members.
Burden dependencies,Higher clinical/SDOH burden -> total_cost_last_6m,high burden=326.63; lower burden=79.75; lift=246.88,Higher clinical and SDOH burden should increase utilization and cost,Pass,Decision uses direct conditional means for higher-burden members.
